NO,Nama jamu,Khasiat,jumlah_kata
126,awet muda,"['pulih', 'elastisitas', 'organ', 'intim', 'wanita', 'kencang', 'otot', 'miss', 'v', 'hilang', 'gatal', 'gatal', 'putih', 'bau', 'senang', 'cegah', 'tua', 'stabil', 'ph', 'asam', 'kurang', 'cair', 'basah', 'tingkat', 'hormon', 'estrogen', 'remaja', 'tubuh', 'lahir', 'haid', 'cegah', 'kanker', 'vagina', 'kanker', 'payudara']",35
127,jakiat,"['baik', 'stamina', 'pria', 'tingkat', 'bugar', 'tubuh', 'hubung', 'pasutri', 'bantu', 'atas', 'ejakulasi', 'kental', 'sperma', 'tambah', 'jantan', 'pria']",16
128,sirih wangi,"['hilang', 'bau', 'badan', 'mulut', 'sembuh', 'radang', 'tenggorok', 'gusi', 'atas', 'putih', 'sembuh', 'jerawat', 'halus', 'kulit', 'lancar', 'air', 'seni', 'tambah', 'tenaga', 'stamina', 'kurang', 'keringat', 'lebih', 'atas', 'sakit', 'kulit', 'gatal', 'gatal']",28
129,Rapet Wangi,"['bantu', 'kurang', 'lendir', 'daerah', 'wanita']",5
130,bersih darah,"['lancar', 'edar', 'darah', 'tubuh', 'bersih', 'darah', 'kotor', 'tubuh', 'atas', 'gatal', 'gatal', 'kulit', 'atas', 'ringan', 'bisul', 'obat', 'koreng', 'kulit', 'sembuh', 'cegah', 'jerawat']",21
131,kencing manis,"['obat', 'kencing', 'manis', 'turun', 'kadar', 'gula', 'haus', 'kencing', 'malam']",9
132,sari rapet,"['tambah', 'gairah', 'hubung', 'suami', 'istri', 'obat', 'putih', 'gejala', 'air', 'lendir', 'bau', 'rapat', 'otot', 'otot', 'vagina']",15
133,delima putih,"['cegah', 'obat', 'putih', 'muka', 'pucat', 'gairah', 'sakit', 'pinggang', 'kurang', 'lendir', 'hilang', 'bau', 'keringat', 'sedap', 'rapat', 'vagina', 'pakai', 'atur', 'wajah', 'cahaya', 'cantik', 'awet', 'muda']",23
134,empot-empot love,"['encang', 'organ', 'intim', 'rapet', 'encang', 'kulit', 'tambah', 'libido', 'atas', 'payudara', 'kendur', 'bersih', 'bakteri', 'jamur', 'putih', 'obat', 'kista', 'cegah', 'kanker', 'payudara', 'kuat', 'pinggang', 'lancar']",23
135,manjakani,"['normal', 'hormon', 'estrogen', 'encang', 'wajah', 'kulit', 'encang', 'payudara', 'encang', 'otot', 'otot', 'wanita', 'rapet', 'cegah', 'osteoporosis', 'tulang', 'keropos', 'sembuh', 'putih', 'kuat', 'pinggang', 'lancar']",22
136,gemuk sehat,"['tambah', 'nafsu', 'makan', 'hambat', 'tumbuh', 'sel', 'kanker', 'tingkat', 'daya', 'tahan', 'tubuh', 'jaga', 'sehat', 'liver', 'baik', 'jaring', 'tubuh', 'rusak', 'bantu', 'lawan', 'bakteri', 'jamur', 'tubuh', 'sembuh', 'sakit', 'kuning']",26
137,oil mahabbah,"['payudara', 'kencang', 'montok', 'lahir', 'rawat', 'sehat', 'payudara', 'halus', 'kulit', 'payudara']",10
138,bubuk herbal ajaib,"['rapat', 'encang', 'otot', 'vagina', 'ering', 'miss', 'v', 'basah', 'nikmat', 'bahagia', 'hubung', 'suami', 'istri']",13
139,butiran putri delima,"['rapat', 'encang', 'otot', 'vagina', 'keset', 'kering', 'wanita', 'percaya', 'nikmat', 'bahagia', 'hubung', 'suami', 'istri']",13
140,penyubur kandungan,"['kuat', 'rahim', 'tambah', 'hormon', 'subur', 'kandung']",6
141,setanggi zahra,"['manfaat', 'aromatherapy', 'tenang', 'hati', 'tambah', 'intim', 'suami', 'istri']",8
142,timung / mandi uap,"['lancar', 'edar', 'darah', 'keluar', 'keringat', 'lebih', 'bakar', 'lemak', 'harum', 'badan', 'badan', 'segar', 'harum', 'seri']",14
143,hormolak,"['stabil', 'hormon', 'laki', 'laki', 'produksi', 'sperma', 'suplemen', 'tambah', 'produksi', 'sperma', 'maksimal', 'cepat', 'produksi', 'sperma', 'banyak', 'cair', 'sperma', 'hangat', 'badan', 'kurang', 'ejakulasi']",21
144,lintah hitam papua,"['lancar', 'sirkulasi', 'darah', 'encang', 'otot', 'otot', 'kendur', 'tingkat', 'jantan', 'pria', 'obat', 'lemah', 'syahwat', 'ejakulasi', 'besar', 'panjang', 'penis']",17
145,jamu gemuk sehat,"['bantu', 'baik', 'nafsu', 'makan', 'tambah', 'berat', 'badan', 'selaras', 'alatalat', 'cerna', 'tubuh', 'hilang', 'letih', 'lesu', 'lemah', 'semangat']",16
146,jamu sepet madura *empot-empot),"['bantu', 'kurang', 'lendir', 'daerah', 'wanita', 'kuat', 'otot', 'otot', 'vagina', 'denyut', 'denyut', 'istimewa', 'vagina', 'keras', 'otot', 'vagina', 'hilang', 'putih', 'gatal', 'gatal']",20
147,PLUNTUR(TERLAMBAT BULAN),"['efektif', 'wanita', 'lambat', 'atur', 'sakit', 'badan', 'anjur', 'lambat']",8
148,Jamu Tradisional Madura,"['amandel', 'tekan', 'darah', 'asma', 'kencing', 'batu', 'liver', 'alergi', 'lemah', 'jantung', 'nafsu', 'makan', 'asam', 'urat', 'pegal', 'linu', 'kencing', 'manis', 'ginjal', 'rematik', 'sakit', 'gigi', 'maag', 'eksim', 'darah']",25
149,Lulur Bengkoang,"['angkat', 'selsel', 'kulit', 'mati', 'hilang', 'jerawat', 'flek', 'hitam', 'mutih', 'kulit']",10
150,pintu surga,"['manfaat', 'awat', 'wanita', 'tuntas', 'putih']",5
151,jamu manjakani,"['rapat', 'vagina', 'bikin', 'keset', 'putih', 'sehat', 'badan']",7
152,air cewok,"['bikin', 'keset', 'rapat', 'hilang', 'putih', 'hilang', 'bau', 'daerah', 'v']",9
153,jamu melahirkan,"['bayi', 'sehat', 'bugar']",3
154,sehat lelaki,"['hubung', 'suami', 'istri', 'intim', 'jantan', 'lelaki']",6
155,sehat wanita,"['putih', 'stamina', 'wanita', 'hubung', 'suami', 'istri', 'intim']",7
156,salekarang,"['flu', 'batuk', 'sakit', 'gigi', 'pusing']",5
157,Kopi racikan madura,"['jaga', 'organ', 'hati', 'bantu', 'bersih', 'salur', 'cerna', 'bantu', 'bakar', 'lemak', 'cegah', 'sakit', 'jantung', 'diabetes']",14
158,dupa kemanten,"['harum', 'tubuh', 'baju', 'ruang', 'harum', 'lengket']",6
159,galian singset,"['bantu', 'kurang', 'lemak', 'badan', 'langsing']",5
160,jamu jerawat,"['bantu', 'atas', 'jerawat', 'jaga', 'kulit', 'halus', 'cahaya']",7
161,jamu pelangsing(bobot idaman),"['turun', 'berat', 'badan', 'sesuai', 'idam', 'tahan', 'bobot', 'badan', 'gemuk', 'kontrol', 'kadar', 'lemak', 'perut']",13
162,jamu pegel linu,"['khasiat', 'sembuh', 'pegal', 'pegal', 'linu', 'otot', 'otot', 'sembuh', 'sakit', 'rematik', 'encok', 'sakit', 'pinggang']",13
163,jamu nifas (pluntur),"['efektif', 'wanita', 'lambat', 'atur', 'sakitsakit', 'badan']",6
164,sehat lelaki (perkasa lelaki),"['kuat', 'fungsi', 'lelaki', 'tingkat', 'tahan', 'jantan']",6
165,sepet madura(empot-empotan),"['denyut', 'denyut', 'istimewa', 'khas', 'kuat', 'otot', 'otot', 'wanita', 'hilang', 'bau', 'enak', 'gatal', 'gatal', 'putih']",14
166,sehat perempuan (montok payudara),"['encang', 'payudara', 'besar', 'payudara', 'ideal', 'sehat', 'indah', 'payudara']",8
167,sari harum(keputihan),"['mujarab', 'ampuh', 'putih', 'hilang', 'bau', 'enak', 'gatal', 'gatal']",8
168,awet ayu,"['jaga', 'kulit', 'tubuh', 'perempuan', 'segar', 'halus', 'cahaya', 'encang', 'otot', 'otot', 'tubuh', 'singset', 'jaga', 'tubuh', 'sehat', 'segar']",16
169,SUPER SEHAT BURUNG WALET,"['insya', 'allah', 'ampuh', 'cegah', 'sembuh', 'rematik', 'asam', 'urat', 'tekan', 'darah', 'asma', 'maag', 'ginjal', 'tipes', 'cacing', 'sakit', 'gigi', 'lemah', 'syahwat', 'gatal', 'gatal', 'alergi', 'paruparu', 'basah', 'nafsu', 'makan', 'lancar', 'sirkulasi', 'darah', 'jerawat', 'bisul', 'kudis', 'panu', 'rawat', 'ms', 'v', 'atas', 'putih', 'rawat', 'encang', 'kulit', 'cegah', 'atas', 'sakit', 'tahun', 'lumpuh', 'badan', 'mati', 'paruh', 'stroke', 'kanker', 'liver', 'kencing', 'manis', 'basah', 'kencing', 'manis', 'kering', 'jaga', 'tambah', 'daya', 'tahan', 'tubuh']",63
170,SUPER KUAT BURUNG WALET,"['insyaallah', 'ampuh', 'tambah', 'puas', 'sex', 'tahan', 'keluar', 'air', 'sperma', 'tambah', 'jantan', 'encang', 'otot', 'zakar', 'kuat', 'obat', 'impoten', 'tahun', 'rangsang', 'cepat', 'hidup', 'dzakar', 'tambah', 'energi', 'hubung', 'ganti', 'selsel', 'tubuh', 'aus', 'obat', 'lesu', 'loyo', 'sakit', 'pinggang', 'sakit', 'kepala', 'tambah', 'daya', 'tahan', 'tubuh', 'tambah', 'vitalitas', 'pria', 'wanita']",44
171,KOPI JANTAN ANTI DIABETES,"['insya', 'allah', 'ampuh', 'atas', 'sakit', 'diabetes', 'lemah', 'syahwat', 'ejakulasi', 'tingkat', 'libido', 'tambah', 'stamina', 'vitalitas', 'tingkat', 'daya', 'tahan', 'tubuh', 'pria', 'wanita']",20
172,MADU Ruqyah,"['insya', 'allah', 'tingkat', 'gairah', 'sex', 'priawanita', 'sulit', 'turun', 'ganggu', 'jinpsikis', 'kena', 'sihirsantet']",12
173,SUSU SUPER SEHAT GOLD,"['mudah', 'lesuloyoletihkurang', 'semangat', 'energik', 'rawat', 'kuat', 'otot', 'mrp', 'tambah', 'stamina', 'pria', 'wanita', 'rawat', 'encang', 'ms', 'v', 'atas', 'putih', 'lendir', 'lebih', 'msv', 'harmonis', 'suami', 'istri']",24
174,SUBUR KANDUNGAN,"['subur', 'kandung', 'gugur']",3
175,SABUN CAIR SIRIH,"['harum', 'keset', 'bersih', 'daerah', 'khusus', 'wanita']",6
176,krim rondo ayu,"['khasiat', 'encang', 'payudara', 'turun', 'saran', 'minum', 'kapsul', 'montok', 'payudara', 'hasil', 'maksimal']",11
177,harum rempah spray(perfume),"['hilang', 'bau', 'badan', 'ketiak', 'leher', 'kaki', 'rambut']",7
